id,quiz1,quiz2,quiz3
Ç23016035,NA,60,80
18022082,75,40,NA
19022022,NA,NA,80
19022068,100,80,90
19024075,NA,NA,80
19025070,100,40,80
2002D050,100,40,40
2002D906,100,40,60
2102D023,75,NA,60
2102D033,50,NA,80
21022043,75,NA,60
21022052,100,NA,90
21022082,NA,40,80
21024012,25,20,40
21024040,75,NA,NA
21024060,75,60,60
21024086,75,20,60
21025030,25,60,60
2202D001,75,40,60
2202D010,75,40,70
2202D017,100,80,80
2202D023,75,20,80
2202D024,100,60,90
2202D030,100,20,80
2202D032,75,40,80
2202D033,100,40,90
2202D034,75,20,80
2202D035,50,80,60
2202D036,75,20,100
2202D038,100,60,60
2202D040,NA,40,50
2202D041,75,20,50
2202D042,100,20,60
2202D044,NA,20,80
2202D045,100,80,60
2202D047,100,40,90
2202D049,100,60,70
2202D050,25,40,50
2202D051,75,40,70
22022021,75,40,90
22022023,100,40,90
22022030,75,40,80
22022035,100,60,90
22022039,100,60,40
22023072,NA,NA,90
22024003,100,20,80
22024007,75,20,90
22024009,75,60,70
22024017,100,0,80
22024019,100,100,80
22024032,75,60,80
22024068,100,20,80
22024071,100,80,80
22024077,100,80,90
22024089,75,60,70
22024095,NA,NA,70
22025009,100,80,80
22028909,75,20,80
2302D011,100,60,70
2302D016,100,40,70
2302D043,100,NA,80
2302D603,100,40,70
23022066,75,100,30
23022071,100,60,50
23022074,75,40,80
23022080,100,NA,90
23023072,50,40,100
23023628,100,40,90
23024001,100,80,60
23024006,75,60,90
23024013,100,80,70
23024016,75,80,90
23024029,100,60,60
23024030,100,60,70
23024072,75,100,80
23024092,100,80,50
23024098,75,100,90
23024606,75,100,100
23024704,100,80,90
23025024,75,20,70
23025026,75,60,80
23025035,NA,80,80
23025074,100,40,90
23028046,75,80,70
23028047,75,80,100
23028050,75,60,70
23028612,NA,40,70
2402D008,75,100,100
2402D601,75,NA,80
24022080,75,80,80
24022602,100,40,60
24022607,75,40,60
24023037,100,60,100
24023701,75,80,70
24025015,100,80,90
24025022,NA,80,80
24025035,75,60,NA
24025068,75,80,70
25023604,75,100,90
25023650,75,0,80
25023654,100,60,100
25023655,100,100,70
25023662,100,100,90
25023663,100,100,80
25023667,100,100,70
25023668,100,100,100
25024604,100,80,90
25025602,100,20,80
25028601,75,80,70
25028603,NA,60,80
